concatenated_source,source_publisher,source_product,source_full_version,source_availability,source_end_of_support
Micro Focus - AcuGLOracle - 8.1,Micro Focus,AcuGLOracle,8.1,,2017-02-28
Micro Focus - AcuGLOracle - 8.1,Micro Focus,AcuGLOracle,8.1,,2017-02-28
Micro Focus - AcuGLOracle - 8.1,Micro Focus,AcuGLOracle,8.1,,2017-02-28
Micro Focus - AcuGLOracle - 9.0,Micro Focus,AcuGLOracle,9.0,,
Micro Focus - AcuGLOracle - 9.0,Micro Focus,AcuGLOracle,9.0,,
Micro Focus - AcuGLOracle - 9.1,Micro Focus,AcuGLOracle,9.1,,
Micro Focus - AcuGLOracle - 9.1,Micro Focus,AcuGLOracle,9.1,,
Micro Focus - AcuGLOracle - 9.1,Micro Focus,AcuGLOracle,9.1,,
Micro Focus - AcuGLOracle - 9.12.1,Micro Focus,AcuGLOracle,9.12.1,,
Micro Focus - AcuGLOracle - 9.2,Micro Focus,AcuGLOracle,9.2,,
Micro Focus - AcuGLOracle - 9.2,Micro Focus,AcuGLOracle,9.2,,
Micro Focus - AcuGLOracle - 9.2,Micro Focus,AcuGLOracle,9.2,,
Micro Focus - AcuGLOracle - 9.2,Micro Focus,AcuGLOracle,9.2,,
Micro Focus - AcuGLOracle - 9.2,Micro Focus,AcuGLOracle,9.2,,
Micro Focus - AcuGLOracle - 9.2,Micro Focus,AcuGLOracle,9.2,,
Micro Focus - AcuGLSybase - 10.4.0,Micro Focus,AcuGLSybase,10.4.0,2021-04-29,
Micro Focus - AcuGLSybase - 10.3,Micro Focus,AcuGLSybase,10.3,2020-06-30,2021-11-30
Micro Focus - AcuGLSybase - 10.3,Micro Focus,AcuGLSybase,10.3,2019-11-27,2021-04-30
Micro Focus - AcuGLSybase - 10.0,Micro Focus,AcuGLSybase,10.0,,
Micro Focus - AcuGLSybase - 10.0,Micro Focus,AcuGLSybase,10.0,,
Micro Focus - AcuGLSybase - 10.1,Micro Focus,AcuGLSybase,10.1,,
Micro Focus - AcuGLSybase - 10.1,Micro Focus,AcuGLSybase,10.1,,
Micro Focus - AcuGLSybase - 10.2,Micro Focus,AcuGLSybase,10.2,,
Micro Focus - AcuGLSybase - 10.2,Micro Focus,AcuGLSybase,10.2,,
Micro Focus - AcuGLSybase - 7.0,Micro Focus,AcuGLSybase,7.0,,2010-12-31
Micro Focus - AcuGLSybase - 7.0,Micro Focus,AcuGLSybase,7.0,,2010-12-31
Micro Focus - AcuGLSybase - 7.0,Micro Focus,AcuGLSybase,7.0,,2010-12-31
Micro Focus - AcuGLSybase - 7.1,Micro Focus,AcuGLSybase,7.1,,2010-12-31
Micro Focus - AcuGLSybase - 7.2,Micro Focus,AcuGLSybase,7.2,,2010-12-31
Micro Focus - AcuGLSybase - 7.2,Micro Focus,AcuGLSybase,7.2,,2010-12-31
Micro Focus - AcuGLSybase - 7.2,Micro Focus,AcuGLSybase,7.2,,2010-12-31
Micro Focus - AcuGLSybaseJPN - 7.2,Micro Focus,AcuGLSybaseJPN,7.2,,2011-12-31
Micro Focus - AcuGLSybase - 7.3,Micro Focus,AcuGLSybase,7.3,,2010-12-31
Micro Focus - AcuGLSybase - 8.0,Micro Focus,AcuGLSybase,8.0,,2017-02-28
