productName,productFullId,productId
SOA Express 8.0,row5268,5268
SRC 2.0 0,row5273,5273
SRC 3,row5274,5274
SRC 4,row5278,5278
SRC 5,row5282,5282
SSM 4 0.1,row5302,5302
SSM 5,row5303,5303
StarBat 7.8 0,row5325,5325
StarTeam Cache Agent 16,row5336,5336
StarTeam Cache Agent 17,row6269,6269
StarTeam DataMart 16,row5347,5347
StarTeam DataMart 17.0 0,row5352,5352
StarTeam Enterprise 15,row5373,5373
StarTeam Enterprise 16,row5376,5376
StarTeam Enterprise 17,row5381,5381
StarTeam Enterprise Advantage 15,row5403,5403
StarTeam Enterprise Advantage 16,row5406,5406
StarTeam Enterprise Advantage 17,row5411,5411
StarTool DA 5.7,row5421,5421
StarTool FDM 5 & 6,row5431,5431
StarTool FDM 7.8,row5435,5435
StarTool IOO 3.1,row5459,5459
StarTool-MVS 6 1.2,row5467,5467
StarTool-MVS 7,row5468,5468
Storage Manager 2,row4522,4522
Storage Manager 3,row4523,4523
Storage Manager 4,row4524,4524
Storage Manager 5.0 for eDirectory,row4525,4525
Storage Manager for Active Directory,row6980,6980
Storage Optimizer 4.6x,row6071,6071
Storage Optimizer 5,row6072,6072
Structured Data Manager 7,row6081,6081
Structured Data Manager Apps Pack,row6704,6704
Studio Enterprise Edition 5 & 6,row5472,5472
Studio Enterprise Edition Test Server 6.0 SP2 WS2,row5482,5482
Studio for COBOL Developers 5,row5483,5483
Studio for ISVs 5,row5487,5487
Studio for Mainframe Migration 5.0 00,row5505,5505
Systinet 10.0x (previously called SOA Systinet),row6099,6099
TeamDefine 2009 n/a,row5509,5509
Teaming 1,row4571,4571
Teaming 2,row4572,4572
TeamTrack 4,row6275,6275
TeamTrack 5,row6276,6276
TeamTrack 6,row6277,6277
TeamTrack 7,row6278,6278
TeamTrack for ZMF 5 & 6,row5534,5534
TestPartner 6,row5546,5546
TGAudit 1.x,row4573,4573
TGAudit 2.x,row4574,4574
TGDetect 2.x,row4577,4577
TGSecure 1.x,row4580,4580
Together 12,row5548,5548
Together 13.0 0,row5555,5555
Together 14.0 0,row6338,6338
Together 2008,row5556,5556
TouchPoint 1.1.12 1.0,row5562,5562
TrackRecord 6,row5576,5576
Unified Communication and Collaborations Management SE Suite,row6472,6472
Universal Policy Administrator,row7168,7168
Validator 1,row4585,4585
Verastream Bridge Integrator 3,row4592,4592
Verastream Bridge Integrator 4,row4595,4595
Verastream Bridge Integrator 5,row4598,4598
Verastream Host Integrator 7,row4607,4607
Verastream Process Designer,row4615,4615
